 format: day,hour,value location:62_128 Start : 20220101 
 20, 1900, 61.000000 
 20, 2000, 55.000000 
 20, 2100, 70.000000 
 20, 2200, 93.000000 
 20, 2300, 74.000000 
 21, 0000, 69.000000 
 21, 0100, 77.000000 
 21, 0200, 43.000000 
 21, 0300, 102.000000 
 21, 0400, 155.000000 
 21, 0500, 80.000000 
 21, 0600, 235.000000 
 21, 0700, 328.000000 
 21, 0800, 63.000000 
 21, 0900, 73.000000 
 21, 1000, 67.000000 
 21, 1100, 72.000000 
 21, 1200, 70.000000 
 21, 1300, 74.000000 
 21, 1400, 68.000000 
 21, 1500, 68.000000 
 21, 1600, 71.000000 
 21, 1700, 71.000000 
 21, 1800, 50.000000 
 21, 1900, 77.000000 
 21, 2000, 63.000000 
 21, 2100, 64.000000 
 21, 2200, 74.000000 
 21, 2300, 73.000000 
 22, 0000, 42.000000 
 22, 0100, 80.000000 
 22, 0200, 71.000000 
 22, 0300, 66.000000 
 22, 0400, 88.000000 
 22, 0500, 248.000000 
 22, 0600, 120.000000 
 22, 0700, 0.000000 
 22, 0800, 69.000000 
 22, 0900, 73.000000 
 22, 1000, 0.000000 
 22, 1100, 65.000000 
 22, 1200, 91.000000 
 22, 1300, 67.000000 
 22, 1400, 97.000000 
 22, 1500, 93.000000 
 22, 1600, 82.000000 
 22, 1700, 21.000000 
 22, 1800, 75.000000 
 22, 1900, 72.000000 
 22, 2000, 39.000000 
 22, 2100, 77.000000 
 22, 2200, 0.000000 
 22, 2300, 0.000000 
 23, 0000, 93.000000 
 23, 0100, 292.000000 
 23, 0200, 270.000000 
 23, 0300, 253.000000 
 23, 0400, 232.000000 
 23, 0500, 235.000000 
 23, 0600, 242.000000 
 23, 0700, 232.000000 
 23, 0800, 68.000000 
 23, 0900, 72.000000 
 23, 1000, 71.000000 
 23, 1100, 76.000000 
 23, 1200, 75.000000 
 23, 1300, 70.000000 
 23, 1400, 69.000000 
 23, 1500, 52.000000 
 23, 1600, 83.000000 
 23, 1700, 75.000000 
 23, 1800, 66.000000 
 23, 1900, 56.000000 
 23, 2000, 51.000000 
 23, 2100, 23.000000 
 23, 2200, 67.000000 
 23, 2300, 79.000000 
 24, 0000, 70.000000 
 24, 0100, 89.000000 
 24, 0200, 96.000000 
 24, 0300, 71.000000 
 24, 0400, 75.000000 
 24, 0500, 68.000000 
 24, 0600, 74.000000 
 24, 0700, 73.000000 
 24, 0800, 62.000000 
 24, 0900, 62.000000 
 24, 1000, 75.000000 
 24, 1100, 96.000000 
 24, 1200, 71.000000 
 24, 1300, 31.000000 
 24, 1400, 70.000000 
 24, 1500, 74.000000 
 24, 1600, 100.000000 
 24, 1700, 84.000000 
 24, 1800, 131.000000 
 24, 1900, 73.000000 
 24, 2000, 64.000000 
 24, 2100, 85.000000 
 24, 2200, 64.000000 
 24, 2300, 67.000000 
 25, 0000, 58.000000 
 25, 0100, 69.000000 
 25, 0200, 65.000000 
 25, 0300, 109.000000 
 25, 0400, 106.000000 
 25, 0500, 104.000000 
